Response.No.;Age;Region;Along.the.coast;Deep.sea;In.the.reef.area;Other;q19boatsize;q20gearBasket;q20gearhandline;q20gearVerticalline;q20gearLargeNet;q20gearGillnet;q20gearOthers;q21engine1;q32Fisnearfad;q60rainy1n0;q63m3s2l1;q64summ1l0;q65winm1l0;q66m3s2l1;q13edu;q14house;q15source;q16age;q17ageregis;q170t.registered;q18fishinboat;;q19exatsize;q19other;q19othersize;;;;;;;;q21engine2;q21other;q22boat;q22boatrange;q22engine;q22enginerange;q22equip;q22equiprange;q22line;q22linerange;q22other;q22tot;q22totrange;q22tot.c;q23homeport;q24homecellA;q25freqloca;q26month;q26times;q27monthmore;q27monthmorerange;Q28wcell1;Q28wcell2;Q28wcell3;Q28wcell4;Q28wcell5;Q28wcell6;Q28wcell7;Q28wcell8;q29Scell1;q29Scell2;q29Scell3;q29Scell4;q29Scell5;q29Scell6;q29Scell7;q29Scell8;q30FADgood;q31FADtrain;;q32why;q33change;q34goodapp;q35;q36fadhelp;q37expl;q38Y1cell;q39Y2cell;q40FADtotal.kg;q41F1name;q41code;q41F1min;q41F1max;q41F2name;q41F2code;q41F2min;q41F2max;q41F3name;q41F3code;q41F3min;q41F3max;q42fadtimes;q43sumname1;q43sumcode1;q43summin1;q43fssummax1;q43sumname2;q43sumcode2;q43summin2;q43fssummax2;q43sumname3;q43sumcode3;q43summin3;q43fssummax3;q43winname1;q43winname1.1;q43winmin1;q43fswinmax1;q43winname2;q43winname2.1;q43winmin2;q43fswinmax2;q43winname3;q43winname3.1;q43winmin3;q43fswinmax3;q44fadmore;q44Dynamic;q45FADmorecell;q46name1;q46name1code;q46name2;q46name2code;q46name3;q46name3code;q46name4;q46name3code.1;q47seamore;q48s0w1;q49less;q50;q51sealess;q52s0w1;q53twofads;q54name1;q54name1code;q54name2;q54name2code;q54name3;q54name3code;q54name4;q54name3code.1;q55temy1n0;q56desc;q57temtime;q57temtimerange;q58fsbehsum;q59fsbewin;q60rainy1n0;q60rainS2DK3;q611when;q611when..range;q62rainb0a4;q62rainb0a4both2DK3;q63m3s2l1;q64summ1l0;q64summ1l0S2DK3;q65winm1l0;q65winm1l0S2DK3;q66m3s2l1;q67n0y1;q67name1;q67name1code;q67name2;q67name2code;q67name3;q67name3code;q67name4;q67name4code;q67name5;q67name5code;q68M3L1s2;q69accnum;q70y1n0;q71usey1n0;q72example;q73Xcell;id;q73X2cell;q74measure;DistanceFADS;q75weather;q75weathernight;q76fami;q77n1q2h3nf4fm5m6mt7;q78fishingtrip;q79selec;q80totalcatch.kg;q81numfisher;q82fsname1;q82fsname1code;q82fsweight1;q82fslen1;q82fsname2;q82fsname2code;q82fsweight2;q82fslen2;q82fsname3;q82fsname3code;q82fsweight3;q82fslen3;q82fsname4;q82fsname4code;q82fsweight4;q82fslen4;q82fsname5;q82fsname5code;q82fsweight5;q82fslen5;q82fsname6;q82fsname6code;q82fsweight6;q82fslen6;q82fsname7;q82fsname7code;q82fsweight7;q82fslen7;q82fsname8;q82fsname8code;q82fsweight8;q82fslen8;q82fsname9;q82fsname9code;q82fsweight9;q82fslen9;q82fsname10;q82fsname10code;q82fsweight10;q82fslen10;q82fsname11;q82fsname11code;q82fsweight11;q82fslen11;q82fsname12;q82fsname12code;q82fsweight12;q82fslen12;q82fsname13;q82fsname13code;q82fsweight13;q82fslen13;q82fsname14;q82fsname14code;q82fsweight14;q82fslen14;q82fsname15;q82fsname15code;q82fsweight15;q82fslen15;q82fsname16;q82fsname16code;q82fsweight16;q82fslen16;q82fsname17;q82fsname17code;q82fsweight17;q82fslen17;q82fsname18;q82fsname18code;q82fsweight18;q82fslen18;q82fsname19;q82fsname19code;q82fsweight19;q82fslen19;q82fsname20;q82fsname20code;q82fsweight20;q82fslen20;q82fsname21;q82fsname21code;q82fsweight21;q82fslen21;q82fsname22;q82fsname22code;q82fsweight22;q82fslen22;q82fsname23;q82fsname23code;q82fsweight23;q82fslen23;q82fsname24;q82fsname24code;q82fsweight24;q82fslen24;q82fsname25;q82fsname25code;q82fsweight25;q82fslen25;q82fsname26;q82fsname26code;q82fsweight26;q82fslen26;q82fsname27;q82fsname27code;q82fsweight27;q82fslen27;q82fsname28;q82fsname28code;q82fsweight28;q82fslen28;q82fsname29;q82fsname29code;q82fsweight29;q82fslen29;q82fsname30;q82fsname30code;q82fsweight30;q82fslen30;q82fsname31;q82fsname31code;q82fsweight31;q82fslen31;q82fsname32;q82fsname32code;q82fsweight32;q82fslen32;q82fsname33;q82fsname33code;q82fsweight33;q82fslen33;q82fsname34;q82fsname34code;q82fsweight34;q82fslen34;q82fsname35;q82fsname35code;q82fsweight35;q82fslen35;q82fsname36;q82fsname36code;q82fsweight36;q82fslen36;q82fsname37;q82fsname37code;q82fsweight37;q82fslen37;q82fsname38;q82fsname38code;q82fsweight38;q82fslen38;q82fsname39;q82fsname39code;q82fsweight39;q82fslen39;q82fsname40;q82fsname40code;q82fsweight40;q82fslen40;q82fsname41;q82fsname41code;q82fsweight41;q82fslen41;q82fsname42;q82fsname42code;q82fsweight42;q82fslen42;q82fsname43;q82fsname43code;q82fsweight43;q82fslen43;q82fsname44;q82fsname44code;q82fsweight44;q82fslen44;q82fsname45;q82fsname45code;q82fsweight45;q82fslen45;q82fsname46;q82fsname46code;q82fsweight46;q82fslen46;q82fsname47;q82fsname47code;q82fsweight47;q82fslen47;q82fsname48;q82fsname48code;q82fsweight48;q82fslen48;q82fsname49;q82fsname49code;q82fsweight49;q82fslen49;q82fsname50;q82fsname50code;q82fsweight50;q82fslen50;q82fsname51;q82fsname51code;q82fsweight51;q82fslen51;q82totaweight;q83fuelD0E1;q84fuelcost;costper.km;q84days;q86fishers;q87numbask;q88height;q88width;q88length;q90lengthwillingness;Questionlouche
11;64;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;1;1;3;1;1;1;2;1;1;12;16;;1;;23;;;;;;;;;;2;;150000;;75000;80000-90000;;;80000;;;305000;310000-320000;>260k;Poste de Flacq;13596;3;December;15;;November-January;13730;14272;13594;;;;;;14388;14799;15077;14663;;;;;1;1;;;0;1;small fish attracted to FADs, Small fish attracts bigger fish;1;small fish attracted to FADs, Small fish attracts bigger fish;15077;15077;40;Dorade;43;10;25;Bonite;14;2;2.5;Thon jaune;104;15;40;3;Dorade;43;10;25;Bonite;14;2;2.5;Thon jaune;104;15;40;Don't go in winter;;;;;;;;;;;;1;;15077;Bigger fish;;Bonite;14;Thon;99;;;1;0;1;;1;1;;;;;;;;;;1;Colder in winter, hotter in summer;10;;Less fish, go deeper;Less Fish, go deeper;1;;6;;0;;3;1;;1;;1;1;Caya;35;Carandine;26;;;;;;;3;3;1;1;Bad weather;15077;15077;;16;0;2;;1;5;8;1;40;3;Dorade;43;12500;90;Dorade;43;12500;90;Dorade;43;12500;90;Dorade;43;5000;75;Dorade;43;5000;75;Bonite;14;2500;75;Bonite;14;2500;75;Bonite;14;2500;75;Bonite;14;2500;75;Bonite;14;2000;50;Bonite;14;2000;50;Bonite;14;2000;50;Bonite;14;2000;50;Bonite;14;2000;50;Bonite;14;2000;50;Thon jaune;104;40000;100;Thon jaune;104;15000;75;Thon jaune;104;20000;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144500;1;3500;219;;;;;;;1;
12;49;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor  power 9-25;0;0;1;1;1;1;2;1;1;14;39;;1;;23;;;;;;;;;;;;100000;30000-35000;15000;;30000;;5000;;;120000;80000-85000;75-165k;Poste de Flacq;13596;3;December;16;;November-December;13726;13864;14001;;;;;;14400;14668;14801;;;;;;1;0;;FADs near P.de Flacq Broken, and other FADs too far;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;5;;Less fish due to frequent bad weather, some fish enters lagoon due to bad weather and some goes away;Less fish due to frequent bad weather, some fish enters lagoon due to bad weather and some goes away;0;;;;;;1;1;;1;;1;;;;;;;;;;;;2;;1;1;Bad weather;13398;13398;;2.5;;1;;1;1;4;1;4;0;Carangue;27;500;;Carangue;27;500;;Carangue;27;500;;Carangue;27;500;;Carangue;27;500;;Carangue;27;500;;Carangue;27;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500;1;300;120;;;;;;;2;
13;63;East;1;1;1;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor power <8;0;1;3;0;0;1;2;1;1;12;18;;1;;18;;;;;;;;;;1;;20000;;75000;;9000;;5000;;;109000;;75-165k;Poste de Flacq;13596;3;December;20;;November-December;13730;13729;13594;;;;;;14941;14801;14662;;;;;;1;1;;Fish in night, no time to fish near FADS;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;5;;Some fish go away and 0t returning, Less fish, have tp go deeper to fish;Some fish go away and 0t returning, Less fish, have tp go deeper to fish;1;;3,5;3-4 years;0;;3;0;;0;;1;1;Mullet Voiler;67;;;;;;;;;3;4;1;1;Bad weather;15203;15203;;12.75;;;7;1;1;8;1;35;1;Capitaine;25;2000;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Berri rouge;13;1500;;Berri rouge;13;1500;;Berri rouge;13;1500;;Berri rouge;13;1500;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;Berri rouge;13;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35500;1;700;55;;;;;;;1;
14;64;East;1;1;1;0;Fibre glass;1;1;1;0;0;0;Outboard motor  power 9-25;0;1;1;0;0;1;4;1;1;20;44;;0;;35;Fibre glass;35;;;;;;;;2;;250000;;75000;80000-85000;4000;;5000;;;330000;339000-344000;>260k;Poste de Flacq;13596;4;December;15;July;October-December;13730;13999;14000;;;;;;14524;14934;14948;;;;;;1;0;;FADs near P.de Flacq Broken, and don't know location of other FADs;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;10;;Less fish, go deeper;Less fish, go deeper;1;;10;;1;;1;0;;0;;1;1;Caya;35;Beking;9;Carangue;27;;;;;3;5;1;1;Bad weather;14534;14534;;9;;3;;1;4;8;1;13;3;Vielle Rouge;119;500;;Vielle Rouge;119;500;;Vielle Rouge;119;500;;Vielle Rouge;119;500;;Vielle Rouge;119;500;;Vielle Rouge;119;1500;;Vielle Rouge;119;2000;;Cato;30;250;20;Cato;30;250;20;Cato;30;250;20;Cato;30;250;20;Cato;30;500;25;Cato;30;500;25;Cato;30;1000;35;Berri Rouge;13;1000;;Berri Rouge;13;1000;;Berri Rouge;13;1500;;Berri rouge;13;2500;;Corne;39;1000;;Corne;39;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18500;1;800;89;2;3;4;1.52;1.22;1,22;1;
15;62;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor  power 9-25;1;0;3;0;0;1;2;1;1;14;29;;0;;20;;;;;;;;;;2;;100000;>200000;75000;>85000;3200;;2300;;;177300;>290500;165-260k;Poste de Flacq;13596;3;December;25;;November-December;13730;14136;14407;;;;;;15058;15078;13852;;;;;;1;1;;;1;1;small fish attracted to FADs, Small fish attracts bigger fish;1;small fish attracted to FADs, Small fish attracts bigger fish;14388;14388;112;Thon jaune;104;7.5;15;Dorade;43;11;11;Beking;9;8;9;;Thon jaune;104;7.5;15;Dorade;43;11;11;Beking;9;8;9;can0t go in winter;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Colder in winter, hotter in summer;8;;Less Fish;Less Fish;0;;;;;;3;0;;0;;1;1;Mullet Voiler;67;Rouget La queue gris;85;;;;;;;3;2;1;1;Bad weather;14272;14272;;10.5;6;1;;1;5;4;4;20;4;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;750;;Berri Rouge;13;750;;Berri Rouge;13;750;;Berri Rouge;13;750;;Berri Rouge;13;750;;Berri Rouge;13;750;;Capitaine;25;1500;;Capitaine;25;4000;;Capitaine;25;3500;;Capitaine;25;3500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000;1;1200;114;;;;;;;1;
16;60;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor power <8;0;1;3;0;1;2;3;1;0;15;24;;1;;15;;;;;;;;;;2;;20000;15000-20000;50000;;;8000-9000;;;;70000;73000-79000;<75k;Poste la Fayette;13594;3;November;15;July-Aout;November-December;13728;13727;13726;;;;;;13730;14662;13722;;;;;;1;0;;Not necessary to go to FADs to get fish. If bait is good, can get fish nearer;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;irregularity in temprature during both seasons. Colder in winter, hotter in summer;;;boating activities and hotel repel fish;boating activities and hotel repel fish;1;;3,5;3-4 years;1;;3;0;;1;;2;;;;;;;;;;;;3;6;1;1;Bad weather;13722;13722;;9.5;4.4;1;;1;3;4;1;5;2;Vielle Rouge;119;500;;Vielle Rouge;119;750;;Vielle Rouge;119;750;;Vielle Rouge;119;750;;Vielle Rouge;119;750;;Caya;35;500;25;Caya;35;500;25;Caya;35;500;25;Caya;35;500;25;Caya;35;500;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5250;1;300;32;;;;;;;1;
17;42;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor power <8;0;1;1;0;;1;4;4;1;10;32;;1;;14;;;;;;;;;;;;15000;;50000;10000-12000;3600;;2000;;;67000;30600-32600;<75k;Poste la Fayette;13595;3;December;5;March;;13594;13729;13864;;;;;;14526;14664;14939;;;;;;1;0;;Used fish there, but now la mer is trop mauvais;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;7;;Species that used to come nearer coast (Bor roche), do 0t come anymore;Species that used to come nearer coast (Bor roche), do 0t come anymore;1;;3;;;3;1;0;;;3;1;1;Sol;93;Carangue;27;;;;;;;1;;1;1;Bad weather;13594;13594;;1;10.5;1;;1;1;1;0;5;0;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;Rouget;83;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3750;1;150;150;3;0;6;0.5;1.52;1,52;1;
18;62;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor  power 9-25;0;1;3;0;0;1;3;1;1;11;27;;1;;23;;;;;;;;;;;;75000;;15000;;30000;;15000;;;135000;;75-165k;Roche Noires;13456;3;January;13;;November-December;14128;13587;13182;;;;;;12630;13845;14656;;;;;;1;1;;FADs broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;10;;Less Fish. Fish left lagoon;no change;1;;12,5;10-15 years;;3;3;0;;0;;1;1;Mullet Voiler;67;Guele paver;49;;;;;;;1;;1;0;Weather on meteo not accurate. Use own experience.;13051;13051;;4;;1;;1;3;8;1;5;0;Capitaine;25;2000;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;Capitaine;25;200;;Capitaine;25;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;1;150;38;;;;;;;1;
19;58;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;1;Outboard motor power <8;0;1;2;1;0;1;4;1;1;15;;NR;1;;20;;;;;;;;;;;;35000;;25000;;;;3000;;;63000;;<75k;Roche Noires;13456;4;January;15;;September-October;13186;13321;13456;;;;;;13186;13321;13456;;;;;;1;0;;FADs broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;10;;Less fish;Less fish;1;;7,5;5-10 years;1;;2;1;;0;;1;1;Mullet Voiler;67;;;;;;;;;1;;1;1;bad weather;13186;13186;;3.5;;1;;1;2;4;1;4;0;Octopus;69;500;;Octopus;69;1000;;Octopus;69;750;;Octopus;69;500;;Octopus;69;500;;Octopus;69;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;1;0;;;;;;;;1;
20;57;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor power <8;0;1;3;0;0;1;4;1;1;10;41;;1;;22;;;;;;;;;;;;30000;;15000;;70000;;;;;115000;;75-165k;Roche Noires;13456;4;January;10;Summer;;13455;13861;13998;;;;;;13455;13861;13998;;;;;;1;1;;FADs broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;summer hotter, winter varies;7,5;5-10 years;1. Fish population affected by  ru0ffs from reguar flooding. ;1. Fish population affected by  ru0ffs from reguar flooding. ;1;;3,5;3-4 years;0;;3;0;;0;;1;1;Cordonnier;38;Rouget;83;;;;;;;1;;1;0;Use internet;13590;13590;;1;;1;;1;2;4;1;4;1;Octopus;69;750;;Octopus;69;750;;Octopus;69;750;;Octopus;69;750;;Octopus;69;750;;Octopus;69;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4500;1;300;300;;;;;;;1;
21;50;North;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;0;1;1;0;0;1;4;1;1;15;;NR;0;;25;;;;;;;;;;;;40000;;75000;;;;200;;;115200;;75-165k;Grand Gaube;12374;4;January;9;March;December;11970;12779;12238;;;;;;11970;12779;12238;13713;12763;;;;1;0;;La peche zis kot konE;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;3;;Less fish;Les fish;1;;5;;;3;1;0;;0;;1;1;Guele paver;49;;;;;;;;;3;15;1;1;sometimes for bad weather. But mostly use own experience as meteo not accurate.;13047;13047;;6;5.8;1;1;;5;4;1;15;;Capitaine;25;1500;;Capitaine;25;300;;Capitaine;25;600;;Vielle;111;150;;Vielle;111;200;;Carandine;26;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;250;42;;;;;;;1;1
22;58;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;1;Outboard motor power <8;0;1;3;0;0;0;3;1;1;12;23;;1;;23;;;;;;;;;;;;30000;40000-45000;40000;;12000;;1300;;;71300;93300-98300;<75k;Mahebourg;13085;3;January;4;;December-January;14156;14687;14813;;;;;;14156;14687;14813;;;;;;1;0;;Do not know locationof FADs, ministry did not give map and directions, need guidance to go to FADs;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;5,5;6-5 years;Less Fish;Less Fish;1;;1;;0;;3;0;;0;;0;1;Beking;9;;;;;;;;;1;;1;0;judge weather on his own, do not trust meteo;14548;14548;;24;;;7;1;4;8;1;33;0;Vielle Rouge;119;250;;Vielle Rouge;119;250;;Vielle Rouge;119;250;;Vielle Rouge;119;250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;1250;;Berri Rouge;13;2000;;Berri Rouge;13;2000;;Berri Rouge;13;2000;;Berri Rouge;13;2000;;Berri Rouge;13;2000;;Berri Rouge;13;2000;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Capitaine;25;2000;;Caya;35;250;;Caya;35;125;;Caya;35;500;;Giblot;47;500;;Giblot;47;500;;Giblot;47;500;;Giblot;47;500;;Giblot;47;500;;Bordemare;15;500;;Bordemare;15;375;;Bordemare;15;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32500;1;500;21;;;;;;;1;
23;55;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;1;Outboard motor  power 9-25;0;1;3;1;0;1;3;1;1;13;18;;1;;23;;;;;;;;;;2;;100000;35000-40000;60000;;;2500-3000;20000;;;180000;117500-123000;165-260k;Mahebourg;13085;3;January;;;March-April;14156;14688;14817;13622;;;;;14156;14688;14817;13622;;;;;1;0;;Do not know locationof FADs, ministry did not give map and directions, need guidance to go to FADs;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Colder in winter, hotter in summer;12,5;10-15 years;Less Fish, sous marine gaz pik poisson;Less Fish, sous marine gaz pik poisson;1;;;>5;0;;3;1;;0;;1;1;Bordemare;15;Giblot;47;Carandine;26;;;;;1;;1;1;Bad weather;13622;13622;;4;;3;;1;1;4;1;5;1;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;375;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;375;;Cato;30;375;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;250;;Cordonnier;38;375;;Cordonnier;38;375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4625;1;300;75;2;1;10;0.46;1;1;1;
24;65;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;0;1;3;0;;1;3;1;0;15;20;;1;;21;;;;;;;;;;;;40000;;53000;;40000;;;;;133000;;75-165k;Barachois;13226;4;January;15;December;;13218;13352;13486;;;;;;13757;14157;14154;;;;;;1;0;;Don't know location;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;summer hotter, winter 0rmal;2;;Cyclone and rainfall repels fish away.;Cyclone and rainfall repels fish away.;1;;5;;1;;3;0;;;3;1;1;Carangue;27;Mullet;66;;;;;;;3;5;1;1;bad weather;13488;13488;;3.75;;1;;1;1;4;1;4;1;Octopus;69;1500;;Octopus;69;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;1;100;27;;;;;;;1;
